AAPL,AMZN,BABA,BBY,GE,GM,GOOG,MA,PFE,RRC,SBUX,T,WMT,XOM
0.011811770156282106,0.003217358648261298,0.058393909824096535,0.0,0.0,0.01976195257271051,0.09937925763780266,0.001850393215347448,0.16571556105128396,0.0,0.023947918119827164,0.20792881839391972,0.21390878950254774,0.19408427087792088
0.0012809001789772893,0.996470810541029,0.0,0.0,0.0,0.0,0.0,0.0022482892799937566,0.0,0.0,0.0,0.0,0.0,0.0
0.002644055901849149,0.21363249343732976,0.0,0.0,0.0,0.0,0.04217806272998112,0.7397523362074178,0.0,0.0,0.0,0.0017930517234222398,0.0,0.0
0.0,0.6905108358010094,0.0,0.0,0.0,0.0,0.0,0.30948916419899064,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4787594780446383,0.0,0.0,0.0,0.0,0.0,0.5212405219553616,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.20436118239447226,0.0,0.0,0.0,0.0,0.0,0.7956388176055278,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.21285339186157168,0.0015433117508279806,0.0,0.0,0.0,0.09967938588865051,0.6859239104989497,0.0,0.0,0.0,0.0,0.0,0.0
0.012688767616623742,0.002781279503511109,0.05688441201091153,0.0037192960601252446,0.0,0.003068609247894932,0.13649442564518194,0.02653527696881401,0.1446244474987254,0.0,0.03181701195335731,0.1745479942891792,0.23545034977049026,0.1713881294351854
0.03646690480999309,0.05939110468215786,0.0,0.0,0.0,0.0,0.21836311935678032,0.33120605857581,0.03719312975238126,0.0,0.020035672661542193,0.0012898812673736598,0.28673540319741686,0.009318725696544742
0.02041386125736139,0.057854261144117326,0.0,0.0030770868403692765,0.0,0.0,0.1854258835151045,0.2057552510870086,0.08895339364545073,0.0,0.01963003501285083,0.08153221759856692,0.2377242225075699,0.09963378739160075
0.03331134354258013,0.061121771174970786,0.0,0.007118506007714025,0.001284098480473179,0.0,0.2114501629214606,0.23924593703016106,0.10712899731380189,0.0,0.02319112578417109,0.07512745345318217,0.23653096954535666,0.004489634746128509
0.03631612973190044,0.08436828247308877,0.0,0.0,0.0,0.0,0.21746028111083873,0.3298366629660997,0.037039352044288286,0.0,0.019835353040560215,0.001284548159180578,0.2738593904740431,0.0
0.0,0.30134095551864293,0.0,0.0,0.0,0.0,0.0,0.6952024567564072,0.0,0.0,0.0034565877249498594,0.0,0.0,0.0
0.0,0.8716697785105474,0.0,0.0,0.0,0.0,0.0,0.12833022148945258,0.0,0.0,0.0,0.0,0.0,0.0
0.0012794940757953678,0.4448331150786248,0.0,0.0,0.0,0.0,0.0,0.5538873908455798,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5753226021965848,0.0,0.0,0.0,0.0,0.0,0.4246773978034152,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9888002251902936,0.0,0.0,0.0,0.001319703916559011,0.0,0.00988007089314732,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.902539679900696,0.0,0.0,0.0,0.0,0.0,0.09746032009930414,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9564641751296842,0.0,0.0,0.0,0.0,0.0,0.043535824870315834,0.0,0.0,0.0,0.0,0.0,0.0
0.004687964833074965,0.390451776178262,0.0,0.0,0.0,0.0,0.0,0.604860258988663,0.0,0.0,0.0,0.0,0.0,0.0
0.010172359298641718,0.007252450767905017,0.05646860789690029,0.022665405214098933,0.0,0.002423256024589416,0.09196457647514629,0.004061436673875734,0.1468631203955123,0.0,0.03958138863424031,0.17732688850809455,0.23406396744806973,0.20715654266292569
0.006836013057470443,0.15203615476289123,0.0,0.0,0.0,0.0,0.14806330936832487,0.5346980331873463,0.0,0.0,0.002250204178182815,0.001853537362995945,0.15426274808278836,0.0
0.0,0.7256818202480806,0.0,0.0,0.0,0.0,0.0,0.2743181797519193,0.0,0.0,0.0,0.0,0.0,0.0
